PoissonDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
dataset_rgb_poisson_60,mini,assatigue,hybrid,10,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,hybrid,20,,,FAILED
dataset_rgb_poisson_60,mini,popolar,wst,2,,,FAILED
dataset_rgb_poisson_60,mini,popolar,wst,5,,,FAILED
dataset_rgb_poisson_60,mini,popolar,wst,10,,,FAILED
dataset_rgb_poisson_60,mini,popolar,wst,20,,,FAILED
dataset_rgb_poisson_60,mini,popolar,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,mini,popolar,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,mini,popolar,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,mini,popolar,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,mini,popolar,hybrid,2,,,FAILED
dataset_rgb_poisson_60,mini,popolar,hybrid,5,,,FAILED
dataset_rgb_poisson_60,mini,popolar,hybrid,10,,,FAILED
dataset_rgb_poisson_60,mini,popolar,hybrid,20,,,FAILED
dataset_rgb_poisson_60,mini,sunset,wst,2,,,FAILED
dataset_rgb_poisson_60,mini,sunset,wst,5,,,FAILED
dataset_rgb_poisson_60,mini,sunset,wst,10,,,FAILED
dataset_rgb_poisson_60,mini,sunset,wst,20,,,FAILED
dataset_rgb_poisson_60,mini,sunset,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,mini,sunset,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,mini,sunset,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,mini,sunset,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,mini,sunset,hybrid,2,,,FAILED
dataset_rgb_poisson_60,mini,sunset,hybrid,5,,,FAILED
dataset_rgb_poisson_60,mini,sunset,hybrid,10,,,FAILED
dataset_rgb_poisson_60,mini,sunset,hybrid,20,,,FAILED
dataset_rgb_poisson_60,small,assatigue,wst,2,,,FAILED
dataset_rgb_poisson_60,small,assatigue,wst,5,,,FAILED
dataset_rgb_poisson_60,small,assatigue,wst,10,,,FAILED
dataset_rgb_poisson_60,small,assatigue,wst,20,,,FAILED
dataset_rgb_poisson_60,small,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,small,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,small,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,small,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,small,assatigue,hybrid,2,,,FAILED
dataset_rgb_poisson_60,small,assatigue,hybrid,5,,,FAILED
dataset_rgb_poisson_60,small,assatigue,hybrid,10,,,FAILED
dataset_rgb_poisson_60,small,assatigue,hybrid,20,,,FAILED
dataset_rgb_poisson_60,small,popolar,wst,2,,,FAILED
dataset_rgb_poisson_60,small,popolar,wst,5,,,FAILED
dataset_rgb_poisson_60,small,popolar,wst,10,,,FAILED
dataset_rgb_poisson_60,small,popolar,wst,20,,,FAILED
dataset_rgb_poisson_60,small,popolar,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,small,popolar,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,small,popolar,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,small,popolar,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,small,popolar,hybrid,2,,,FAILED
dataset_rgb_poisson_60,small,popolar,hybrid,5,,,FAILED
dataset_rgb_poisson_60,small,popolar,hybrid,10,,,FAILED
dataset_rgb_poisson_60,small,popolar,hybrid,20,,,FAILED
dataset_rgb_poisson_60,small,sunset,wst,2,,,FAILED
dataset_rgb_poisson_60,small,sunset,wst,5,,,FAILED
dataset_rgb_poisson_60,small,sunset,wst,10,,,FAILED
dataset_rgb_poisson_60,small,sunset,wst,20,,,FAILED
dataset_rgb_poisson_60,small,sunset,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,small,sunset,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,small,sunset,advanced_stats,10,,,FAILED
