noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
saltpepper15,mini,5,wst,0.822222,0.124706,"R_wst_std_0, B_wst_mean_0, B_wst_mean_23, B_wst_mean_54, B_wst_std_24;R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_72;R_wst_std_0, G_wst_mean_80, B_wst_mean_73, B_wst_mean_80, B_wst_std_57"
saltpepper15,mini,10,advanced_stats,0.844444,0.163299,"R_p25, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_cv, B_p25, B_p50;R_mean, R_p25, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_cv, B_p25;R_std, R_var, R_iqr, R_mad, R_grad_mean, G_std, G_var, B_skew, B_kurt, B_iqr"
saltpepper15,mini,10,hybrid,0.888889,0.070273,"R_p25, R_iqr, G_p25, G_iqr, B_mean, B_skew, B_cv, B_p25, B_wst_mean_0, B_wst_std_24;R_p25, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_p25, G_wst_std_0, B_wst_mean_0;R_std, R_var, R_mad, R_grad_mean, B_iqr, R_wst_std_0, G_wst_mean_80, B_wst_mean_73, B_wst_std_57, B_wst_std_79"
saltpepper15,mini,10,wst,0.755556,0.143322,"R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_23, B_wst_mean_24, B_wst_mean_54, B_wst_std_24, B_wst_std_69, B_wst_std_75;R_wst_mean_0, R_wst_mean_3, R_wst_mean_72, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_37, B_wst_mean_72, B_wst_std_0, B_wst_std_7;R_wst_mean_50, R_wst_std_0, G_wst_mean_49, G_wst_mean_80, G_wst_std_0, B_wst_mean_22, B_wst_mean_73, B_wst_mean_80, B_wst_std_57, B_wst_std_79"
saltpepper15,mini,20,advanced_stats,0.911111,0.098878,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, R_iqr, G_mean, G_skew, G_kurt, G_p25, G_p50, G_iqr, B_mean, B_skew, B_cv, B_p25, B_p50, B_p75, B_iqr;R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, R_iqr, R_mad, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_kurt, B_cv, B_p25, B_p50, B_p75, B_iqr, B_grad_mean;R_std, R_var, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_p75, G_iqr, G_mad, B_mean, B_std, B_var, B_skew, B_kurt, B_cv, B_p25, B_p50, B_p75, B_iqr"
saltpepper15,mini,20,hybrid,0.888889,0.108866,"R_p25, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_cv, B_p25, B_p50, B_iqr, R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_23, B_wst_mean_24, B_wst_mean_54, B_wst_std_24, B_wst_std_75;R_mean, R_skew, R_cv, R_p25, R_p50, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_cv, B_p25, B_p50, R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_72, B_wst_std_0;R_std, R_var, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_iqr, B_kurt, B_iqr, R_wst_std_0, G_wst_mean_49, G_wst_mean_80, B_wst_mean_22, B_wst_mean_38, B_wst_mean_56, B_wst_mean_73, B_wst_mean_80, B_wst_std_57, B_wst_std_79"
saltpepper15,mini,20,wst,0.733333,0.172037,"R_wst_mean_0, R_wst_std_0, G_wst_mean_0, G_wst_mean_2, G_wst_std_0, B_wst_mean_0, B_wst_mean_22, B_wst_mean_23, B_wst_mean_24, B_wst_mean_54, B_wst_mean_57, B_wst_mean_69, B_wst_mean_70, B_wst_std_6, B_wst_std_24, B_wst_std_43, B_wst_std_57, B_wst_std_64, B_wst_std_69, B_wst_std_75;R_wst_mean_0, R_wst_mean_3, R_wst_mean_7, R_wst_mean_72, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_7, B_wst_mean_31, B_wst_mean_37, B_wst_mean_62, B_wst_mean_68, B_wst_mean_72, B_wst_std_0, B_wst_std_7, B_wst_std_31, B_wst_std_36, B_wst_std_37, B_wst_std_43, B_wst_std_72;R_wst_mean_50, R_wst_std_0, R_wst_std_79, G_wst_mean_6, G_wst_mean_49, G_wst_mean_80, G_wst_std_0, B_wst_mean_0, B_wst_mean_9, B_wst_mean_22, B_wst_mean_38, B_wst_mean_41, B_wst_mean_56, B_wst_mean_64, B_wst_mean_73, B_wst_mean_80, B_wst_std_6, B_wst_std_25, B_wst_std_57, B_wst_std_79"
saltpepper15,original,2,advanced_stats,0.982609,0.034783,"R_iqr, G_iqr"
saltpepper15,original,2,advanced_stats,0.983333,0.020412,"R_iqr, B_mean"
saltpepper15,original,2,advanced_stats,1.0,0.0,"R_iqr, G_iqr"
saltpepper15,original,2,hybrid,0.982609,0.034783,"R_iqr, G_iqr"
saltpepper15,original,2,hybrid,0.875,0.045644,"R_iqr, R_wst_std_0"
saltpepper15,original,2,hybrid,1.0,0.0,"R_iqr, G_iqr"
saltpepper15,original,2,wst,0.878986,0.051219,"R_wst_std_0, G_wst_std_0"
saltpepper15,original,2,wst,0.908333,0.016667,"R_wst_std_0, G_wst_std_0"
saltpepper15,original,2,wst,0.975,0.033333,"G_wst_std_0, B_wst_mean_0"
saltpepper15,original,5,advanced_stats,1.0,0.0,"R_p25, R_iqr, G_p25, G_iqr, B_p25"
saltpepper15,original,5,advanced_stats,0.983333,0.020412,"R_iqr, R_mad, B_mean, B_p25, B_p50"
saltpepper15,original,5,advanced_stats,0.991667,0.016667,"R_cv, R_p25, R_iqr, G_iqr, B_p25"
saltpepper15,original,5,hybrid,1.0,0.0,"R_iqr, G_p25, G_iqr, B_p25, R_wst_std_0"
saltpepper15,original,5,hybrid,0.975,0.020412,"R_iqr, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_37"
saltpepper15,original,5,hybrid,0.991667,0.016667,"R_cv, R_p25, R_iqr, G_iqr, B_p25"
saltpepper15,original,5,wst,0.887681,0.035352,"R_wst_mean_0, R_wst_std_0, G_wst_mean_0, G_wst_std_0, B_wst_mean_0"
saltpepper15,original,5,wst,0.975,0.020412,"R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_33, B_wst_mean_37"
saltpepper15,original,5,wst,0.95,0.048591,"R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_std_0"
saltpepper15,original,10,advanced_stats,1.0,0.0,"R_p25, R_p75, R_iqr, G_p25, G_p50, G_iqr, B_kurt, B_cv, B_p25, B_iqr"
saltpepper15,original,10,advanced_stats,0.983333,0.020412,"R_iqr, R_mad, B_mean, B_std, B_var, B_kurt, B_cv, B_p25, B_p50, B_iqr"
