noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
clean,sunset,mini,2,hybrid,KBest_Hybrid_RGB_Mini_Sunset_k2,1.0,0.0,100,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k2/hybrid/hybrid_k2_mini_report.json,"R_WST9_std, G_WST9_std","1.071562326562327, 1.1237845487845495","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,5,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Sunset_k5,1.0,0.0,100,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k5/advanced_stats/advanced_stats_k5_mini_report.json,"R_mad, R_grad_mean, G_grad_mean, B_iqr, B_grad_mean","0.8593401043401045, 0.9737845487845491, 1.101562326562327, 0.8331496281496282, 0.9509274059274064","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,5,wst,KBest_Wst_RGB_Mini_Sunset_k5,1.0,0.0,100,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k5/wst/wst_k5_mini_report.json,"G_WST10_std, G_WST14_mean, G_WST14_std, G_WST15_mean, B_WST15_mean","1.0848956598956605, 1.1237845487845495, 1.0571178821178826, 1.0626734376734381, 1.0509274059274065","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,5,hybrid,KBest_Hybrid_RGB_Mini_Sunset_k5,1.0,0.0,100,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k5/hybrid/hybrid_k5_mini_report.json,"G_grad_mean, R_WST22_mean, G_WST9_mean, G_WST10_std, G_WST13_std","1.0626734376734381, 1.0626734376734381, 1.0509274059274065, 1.0626734376734381, 1.071562326562327","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,10,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Sunset_k10,0.9333333333333332,0.13333333333333336,100,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k10/advanced_stats/advanced_stats_k10_mini_report.json,"R_std, R_var, R_iqr, R_mad, R_grad_mean, G_grad_mean, B_var, B_iqr, B_mad, B_grad_mean","0.7553718503718512, 0.8437051837051841, 0.7396311096311099, 0.7442607392607397, 1.0571178821178826, 1.0126734376734383, 0.6842607392607394, 0.802594072594073, 0.7571178821178826, 0.9453718503718507","1.0, 1.0, 0.6666666666666666, 1.0, 1.0"
clean,sunset,mini,10,wst,KBest_Wst_RGB_Mini_Sunset_k10,1.0,0.0,100,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k10/wst/wst_k10_mini_report.json,"R_WST9_mean, R_WST9_std, R_WST14_mean, R_WST14_std, R_WST22_mean, G_WST9_mean, G_WST9_std, G_WST10_mean, G_WST22_mean, B_WST14_std","1.0203718503718506, 1.0382289932289936, 1.0404512154512158, 1.0193401043401047, 1.0404512154512158, 1.0509274059274065, 1.0793401043401047, 1.101562326562327, 1.0571178821178826, 1.0571178821178826","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,10,hybrid,KBest_Hybrid_RGB_Mini_Sunset_k10,1.0,0.0,100,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k10/hybrid/hybrid_k10_mini_report.json,"R_grad_mean, G_grad_mean, R_WST9_mean, R_WST14_mean, G_WST5_std, G_WST10_mean, G_WST12_std, G_WST13_std, G_WST14_mean, B_WST10_mean","1.0793401043401047, 1.0793401043401047, 1.0203718503718506, 1.0937845487845492, 1.060451215451216, 1.0126734376734383, 1.0509274059274065, 1.071562326562327, 1.0793401043401047, 1.0548956598956605","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,20,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Sunset_k20,1.0,0.0,100,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k20/advanced_stats/advanced_stats_k20_mini_report.json,"R_std, R_var, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_range, G_iqr, G_grad_mean, B_mean, B_std, B_var, B_max, B_range, B_cv, B_iqr, B_mad, B_grad_mean","0.7192607392607397, 0.7853718503718508, 0.6304512154512161, 0.750742220742221, 0.7475940725940728, 1.0126734376734383, 0.573625818625819, 0.5396575646575645, 0.6691813741813744, 0.6075940725940732, 1.0571178821178826, 0.5297345247345251, 0.7087051837051843, 0.6892607392607399, 0.5414516964516964, 0.5865863765863766, 0.5397633847633849, 0.7831496281496286, 0.7482289932289936, 0.8620385170385174","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,20,wst,KBest_Wst_RGB_Mini_Sunset_k20,1.0,0.0,100,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k20/wst/wst_k20_mini_report.json,"R_WST2_std, R_WST9_mean, R_WST15_mean, R_WST22_mean, G_WST5_mean, G_WST6_std, G_WST9_mean, G_WST9_std, G_WST10_mean, G_WST10_std, G_WST13_mean, G_WST14_mean, G_WST15_mean, G_WST15_std, G_WST22_mean, B_WST2_std, B_WST3_mean, B_WST10_std, B_WST22_mean, B_WST23_mean","1.0203718503718506, 1.0203718503718506, 1.0048956598956604, 1.0626734376734384, 1.0826734376734384, 1.0509274059274065, 1.0342607392607397, 1.1015623265623273, 1.0348956598956605, 1.0271178821178826, 1.006482961482962, 1.1237845487845495, 1.0182289932289934, 1.0287051837051842, 1.0571178821178826, 1.0287051837051842, 1.0320385170385176, 0.9882289932289936, 1.0404512154512158, 1.021562326562327","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,20,hybrid,KBest_Hybrid_RGB_Mini_Sunset_k20,1.0,0.0,100,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k20/hybrid/hybrid_k20_mini_report.json,"R_grad_mean, G_grad_mean, R_WST6_mean, R_WST10_mean, R_WST10_std, R_WST11_mean, R_WST15_mean, R_WST15_std, R_WST22_mean, G_WST1_mean, G_WST5_mean, G_WST6_mean, G_WST9_std, G_WST10_mean, G_WST14_mean, G_WST22_mean, B_WST10_mean, B_WST10_std, B_WST13_std, B_WST14_std","1.0182289932289936, 1.0571178821178826, 1.0287051837051842, 0.9993401043401047, 1.0937845487845492, 1.0382289932289939, 1.0271178821178826, 1.006482961482962, 0.9960067710067715, 1.0509274059274065, 1.060451215451216, 1.0731496281496287, 1.0348956598956605, 1.1237845487845493, 1.0793401043401047, 1.0571178821178826, 1.0682289932289937, 1.001562326562327, 1.006482961482962, 1.0404512154512158","1.0, 1.0, 1.0, 1.0, 1.0"
